월,일,요일,홈,어웨이,경기장
3,23,토,KIA,키움,광주
3,24,일,KIA,키움,광주
3,26,화,NC,키움,창원
3,27,수,NC,키움,창원
3,28,목,NC,키움,창원
3,29,금,키움,LG,고척
3,30,토,키움,LG,고척
3,31,일,키움,LG,고척
4,2,화,삼성,키움,대구
4,3,수,삼성,키움,대구
4,4,목,삼성,키움,대구
4,5,금,키움,한화,고척
4,6,토,키움,한화,고척
4,7,일,키움,한화,고척
4,9,화,SSG,키움,인천
4,10,수,SSG,키움,인천
4,11,목,SSG,키움,인천
4,12,금,키움,롯데,고척
4,13,토,키움,롯데,고척
4,14,일,키움,롯데,고척
4,16,화,키움,KT,고척
4,17,수,키움,KT,고척
4,18,목,키움,KT,고척
4,19,금,두산,키움,잠실
4,20,토,두산,키움,잠실
4,21,일,두산,키움,잠실
4,23,화,키움,KIA,고척
4,24,수,키움,KIA,고척
4,25,목,키움,KIA,고척
4,26,금,키움,삼성,고척
4,27,토,키움,삼성,고척
4,28,일,키움,삼성,고척
4,30,화,롯데,키움,부산
5,1,수,롯데,키움,부산
5,2,목,롯데,키움,부산
5,3,금,KT,키움,수원
5,4,토,KT,키움,수원
5,5,일,KT,키움,수원
5,7,화,키움,두산,고척
5,8,수,키움,두산,고척
5,9,목,키움,두산,고척
5,10,금,한화,키움,대전
5,11,토,한화,키움,대전
5,12,일,한화,키움,대전
5,14,화,LG,키움,잠실
5,15,수,LG,키움,잠실
5,16,목,LG,키움,잠실
5,17,금,키움,SSG,고척
5,18,토,키움,SSG,고척
5,19,일,키움,SSG,고척
5,21,화,키움,NC,고척
5,22,수,키움,NC,고척
5,23,목,키움,NC,고척
5,24,금,KT,키움,수원
5,25,토,KT,키움,수원
5,26,일,KT,키움,수원
5,28,화,삼성,키움,대구
5,29,수,삼성,키움,대구
5,30,목,삼성,키움,대구
5,31,금,키움,SSG,고척
6,1,토,키움,SSG,고척
6,2,일,키움,SSG,고척
6,4,화,LG,키움,잠실
6,5,수,LG,키움,잠실
6,6,목,LG,키움,잠실
6,7,금,키움,삼성,고척
6,8,토,키움,삼성,고척
6,9,일,키움,삼성,고척
6,11,화,롯데,키움,부산
6,12,수,롯데,키움,부산
6,13,목,롯데,키움,부산
6,14,금,키움,두산,고척
6,15,토,키움,두산,고척
6,16,일,키움,두산,고척
6,18,화,한화,키움,대전
6,19,수,한화,키움,대전
6,20,목,한화,키움,대전
6,21,금,키움,롯데,고척
6,22,토,키움,롯데,고척
6,23,일,키움,롯데,고척
6,25,화,키움,NC,고척
6,26,수,키움,NC,고척
6,27,목,키움,NC,고척
6,28,금,KIA,키움,광주
6,29,토,KIA,키움,광주
6,30,일,KIA,키움,광주
7,2,화,키움,LG,고척
7,3,수,키움,LG,고척
7,4,목,키움,LG,고척
7,9,화,키움,한화,고척
7,10,수,키움,한화,고척
7,11,목,키움,한화,고척
7,12,금,NC,키움,창원
7,13,토,NC,키움,창원
7,14,일,NC,키움,창원
7,16,화,키움,KT,고척
7,17,수,키움,KT,고척
7,18,목,키움,KT,고척
7,19,금,SSG,키움,인천
7,20,토,SSG,키움,인천
7,21,일,SSG,키움,인천
7,23,화,두산,키움,잠실
7,24,수,두산,키움,잠실
7,25,목,두산,키움,잠실
7,26,금,키움,KIA,고척
7,27,토,키움,KIA,고척
7,28,일,키움,KIA,고척
7,30,화,키움,NC,고척
7,31,수,키움,NC,고척
8,1,목,키움,NC,고척
8,2,금,두산,키움,잠실
8,3,토,두산,키움,잠실
8,4,일,두산,키움,잠실
8,6,화,키움,SSG,고척
8,7,수,키움,SSG,고척
8,8,목,키움,SSG,고척
8,9,금,한화,키움,대전
8,10,토,한화,키움,대전
8,11,일,한화,키움,대전
8,13,화,키움,KIA,고척
8,14,수,키움,KIA,고척
8,15,목,키움,KIA,고척
8,16,금,롯데,키움,부산
8,17,토,롯데,키움,부산
8,18,일,롯데,키움,부산
8,20,화,KT,키움,수원
8,21,수,KT,키움,수원
8,22,목,KT,키움,수원
8,23,금,키움,LG,고척
8,24,토,키움,LG,고척
8,25,일,키움,LG,고척
8,27,화,키움,삼성,고척
8,28,수,키움,삼성,고척
8,29,목,키움,삼성,고척
